order_id,user_id,product_id,order_date,quantity,total_amount
39,67,21,30-04-2026,5,2499.95
95,10,21,15-05-2026,5,2499.95
427,44,21,26-11-2025,5,2499.95
1280,9,21,10-04-2026,5,2499.95
1822,3,21,07-08-2025,5,2499.95
2425,420,21,01-06-2026,5,2499.95
3204,5,21,27-10-2025,5,2499.95
3676,3,21,31-08-2025,5,2499.95
3690,84,21,02-06-2026,5,2499.95
4103,407,21,14-11-2024,5,2499.95
4429,4,21,18-07-2025,5,2499.95
4482,38,21,07-05-2026,5,2499.95
5575,1,21,13-02-2025,5,2499.95
5589,126,21,13-04-2025,5,2499.95
5901,340,21,20-02-2026,5,2499.95
6204,78,21,31-10-2025,5,2499.95
6339,256,21,26-01-2026,5,2499.95
6911,154,21,18-03-2026,5,2499.95
6951,137,21,30-10-2025,5,2499.95
7508,117,21,24-08-2024,5,2499.95
7535,4,21,30-05-2025,5,2499.95
7770,26,21,27-05-2026,5,2499.95
8041,446,21,09-04-2026,5,2499.95
8106,1,21,24-02-2026,5,2499.95
8608,255,21,28-03-2026,5,2499.95
8647,485,21,12-07-2025,5,2499.95
8918,33,21,19-10-2025,5,2499.95
9067,113,21,19-12-2025,5,2499.95
10251,4,21,28-09-2025,5,2499.95
10526,15,21,16-05-2026,5,2499.95
10658,348,21,23-03-2026,5,2499.95
10887,4,21,22-01-2025,5,2499.95
11945,140,21,18-05-2026,5,2499.95
12106,2,21,16-11-2025,5,2499.95
12694,16,21,05-05-2025,5,2499.95
14610,142,21,06-05-2026,5,2499.95
14810,256,21,24-01-2026,5,2499.95
15197,7,21,21-10-2024,5,2499.95
15316,476,21,21-04-2026,5,2499.95
15475,5,21,06-02-2025,5,2499.95
15701,310,21,16-12-2025,5,2499.95
16099,9,21,02-07-2025,5,2499.95
16121,370,21,29-05-2026,5,2499.95
16136,1,21,01-03-2025,5,2499.95
16598,57,21,02-02-2026,5,2499.95
17104,52,21,02-03-2026,5,2499.95
17449,5,21,08-02-2025,5,2499.95
18111,246,21,19-03-2026,5,2499.95
18424,65,21,27-05-2025,5,2499.95
18826,339,21,02-08-2024,5,2499.95
19305,3,21,08-03-2025,5,2499.95
19341,184,21,25-04-2026,5,2499.95
19447,463,21,10-09-2025,5,2499.95
19551,19,21,05-05-2026,5,2499.95
19668,124,21,19-01-2026,5,2499.95
20059,2,21,12-05-2026,5,2499.95
20648,257,21,01-07-2025,5,2499.95
20924,204,21,18-01-2026,5,2499.95
20929,114,21,24-10-2025,5,2499.95
21782,71,21,18-05-2026,5,2499.95
22034,33,21,20-10-2025,5,2499.95
22081,241,21,11-03-2025,5,2499.95
23314,52,21,25-02-2026,5,2499.95
23456,195,21,10-04-2026,5,2499.95
23463,149,21,31-03-2026,5,2499.95
23598,203,21,10-06-2025,5,2499.95
24011,76,21,05-06-2026,5,2499.95
24045,206,21,22-10-2025,5,2499.95
24901,235,21,23-04-2025,5,2499.95
25356,391,21,06-03-2026,5,2499.95
25454,90,21,25-03-2026,5,2499.95
25752,184,21,18-09-2025,5,2499.95
26006,470,21,16-09-2025,5,2499.95
26678,2,21,06-05-2026,5,2499.95
26950,162,21,02-01-2026,5,2499.95
27013,4,21,09-12-2024,5,2499.95
27376,13,21,31-01-2026,5,2499.95
28094,379,21,13-05-2026,5,2499.95
28427,325,21,02-05-2026,5,2499.95
